	age	createDays	event_count	fan_count	follow_count	gender	level	listening_songs_num	location	playlistCount	userId	user_description
665	unknown	901	2	9	1	1	7	1422	0	4	351077634	是谁发明了我喜欢你这种人间疾苦
666	unknown	1070	3	4	5	2	7	2714	2	6	274834820	
667	unknown	1193	0	1	3	1	6	1075	0	1	120501079	
668	unknown	111	0	2	6	1	2	43	5	3	1712519521	
669	19	458	1	5	3	1	7	2956	3	7	1336992762	你可以坐在扶手椅上继续读你的书，种你的树，看着它们长大。
670	unknown	901	2	9	1	1	7	1422	0	4	351077634	是谁发明了我喜欢你这种人间疾苦
671	unknown	1062	1	1	4	1	7	2018	1	25	278103562	
672	unknown	1062	1	1	4	1	7	2018	1	25	278103562	
673	unknown	524	0	3	3	2	5	254	4	3	636018485	
674	0	160	0	1	2	0	3	129	6	1	1661066806	
675	23	647	0	4	1	1	5	395	1	5	533628942	
676	23	647	0	4	1	1	5	395	1	5	533628942	
677	17	958	0	4	5	1	7	1133	4	19	324652680	
678	2	696	2	5	7	2	8	3779	7	3	414532650	好好学习 和你 一起
679	unknown	408	0	2	4	1	6	870	3	1	1385348001	
680	unknown	52	0	7	3	1	4	349	4	1	1769118128	
681	unknown	227	0	1	7	1	3	121	1	1	1577206603	
682	14	135	0	1	3	1	5	1176	3	12	1685697332	湉湉咖黎
683	18	223	0	1	3	2	7	1048	3	2	1581652860	
684	unknown	685	1	1	1	1	8	3810	3	5	493863053	
685	29	1108	4	1	5	1	8	7488	6	11	259924770	恃宠而骄 不负厚爱
686	unknown	8	0	1	5	0	2	55	3	1	1815276736	
687	16	1079	3	1	1	1	1	39	4	2	271219022	Get Everybody Moving
688	unknown	705	0	6	1	1	7	1853	4	7	481761469	
689	unknown	251	0	0	4	1	6	1967	1	3	1543264916	
690	unknown	771	0	1	7	1	6	840	3	4	430763795	
691	unknown	874	0	1	5	1	5	394	4	1	364484847	
692	unknown	1252	0	2	2	0	7	2313	3	29	103308263	
693	unknown	733	0	4	9	1	6	874	1	11	1366183182	
694	unknown	755	2	1	5	1	6	1000	0	2	440226493	嘴上没关系心里很在意
695	unknown	784	1	2	9	1	6	945	4	3	423181982	
696	22	159	0	1	3	1	5	348	1	1	1662208847	
697	unknown	630	0	2	7	1	7	1396	0	2	547137588	
698	20	612	0	1	5	1	6	412	3	1	562189965	青春若有一颗不变的心。
699	26	235	1	3	6	2	6	518	5	4	1565519972	希望再见，只谈风声，不动心，不伤情……
700	18	798	2	3	1	2	7	1391	3	2	413830444	
701	18	678	1	2	1	2	9	10773	3	6	499332328	飞进你心里~
702	18	678	1	2	1	2	9	10773	3	6	499332328	飞进你心里~
703	unknown	17998	3	1	1	1	8	5307	1	15	39976833	
704	unknown	457	1	1	7	1	6	1009	1	4	1315352910	遇见你是偶然不经意间的惊喜
705	30	1	0	1	3	0	0	0	3	1	1821844233	才知你去了个地方叫永远，你可否代我发表退役宣言
706	unknown	993	2	1	9	1	7	1565	6	7	308813553	抬头是精神，蹭屄是牺牲😌
707	unknown	1105	3	6	2	2	7	1697	5	7	261603504	己所不欲勿施于人
708	unknown	17998	4	4	1	0	7	1898	0	2	41046222	stay chill
709	unknown	120	0	0	4	2	5	254	6	7	1703382394	
710	unknown	547	3	6	3	1	7	2475	6	2	616929917	一事无成，只剩遗憾
711	19	568	0	6	3	1	8	6070	5	11	597738076	
712	unknown	591	1	1	1	2	8	5792	0	21	568980957	大家都好热爱生活 是装的吗？💉
713	unknown	890	0	1	1	1	7	1042	4	6	356267853	
714	-3	690	2	4	1	2	7	2165	1	19	491236042	生生不息。
715	18	282	0	4	5	1	7	1723	4	12	1509479582	这个人想要本硕博走一波。
716	unknown	890	0	1	1	1	7	1042	4	6	356267853	
717	16	113	2	1	2	2	4	202	5	4	1709729812	君は本当に大きくなったんだ
718	16	113	2	1	2	2	4	202	5	4	1709729812	君は本当に大きくなったんだ
719	unknown	846	0	3	4	1	4	177	3	3	380272179	薇heibai88588
720	unknown	453	0	2	5	0	5	340	3	4	1341316522	
721	unknown	614	0	3	1	0	7	1464	1	7	560059877	
722	unknown	17998	4	4	1	0	7	1898	0	2	41046222	stay chill
723	unknown	366	4	2	3	1	5	272	0	4	1426380850	有些事，不管是输还是赢，我们都必须去做。
724	unknown	874	0	2	3	1	6	652	6	5	364755039	
725	unknown	955	0	5	0	2	7	2637	0	7	322467121	Doctor
726	0	6	0	5	3	0	1	226	4	2	1816955658	
727	19	299	0	2	6	2	5	356	6	3	1490917928	
728	unknown	51	0	2	4	2	0	8	1	1	1769915076	
729	48	496	0	5	3	1	6	873	5	2	1301960832	
730	27	17998	1	2	1	1	7	1079	3	3	29353870	听你爱听的歌
731	27	17998	1	2	1	1	7	1079	3	3	29353870	听你爱听的歌
732	unknown	934	1	5	8	0	6	980	3	7	129362706	
733	unknown	14	0	1	3	1	0	1	2	1	1808875483	
734	unknown	5	0	1	2	1	0	9	1	2	1818651829	
735	19	1160	2	1	3	1	7	1296	3	15	132433142	
736	20	667	8	6	5	1	7	2063	1	9	507793255	中考备战,十年磨一剑,至少应该做一回自己的英雄。
737	16	643	1	2	7	1	8	5920	4	12	536409980	绿
738	unknown	193	0	2	1	0	5	366	2	3	1620034133	
739	19	954	2	2	6	2	9	8983	3	14	326665271	身体和灵魂总有一个在路上，出走的目的，只是想找回那个迷失的自己。
740	unknown	250	0	2	4	1	0	7	3	2	1543850131	
741	unknown	725	0	2	1	2	7	1860	4	13	468944832	
742	unknown	103	0	2	4	2	2	65	1	1	1720357556	
743	unknown	726	2	4	9	1	8	3051	4	10	468463511	
744	unknown	599	0	3	3	2	6	831	3	1	571876729	
745	unknown	901	2	9	1	1	7	1422	0	4	351077634	是谁发明了我喜欢你这种人间疾苦
746	unknown	901	2	9	1	1	7	1422	0	4	351077634	是谁发明了我喜欢你这种人间疾苦
747	29	240	0	2	1	1	6	766	1	11	1554592246	
748	unknown	243	0	2	1	1	6	617	3	8	1325502836	
749	unknown	901	2	9	1	1	7	1422	0	4	351077634	是谁发明了我喜欢你这种人间疾苦
750	29	1162	1	2	6	0	7	1147	4	16	131518549	
751	unknown	554	0	1	3	1	5	228	3	9	600066450	
752	unknown	486	0	2	8	2	7	1509	3	3	1309613719	
753	unknown	486	0	2	8	2	7	1509	3	3	1309613719	
754	unknown	257	9	9	1	2	6	469	0	4	1536453828	关键就在于，你是选择共同幸福，还是独霸利益？
755	unknown	257	9	9	1	2	6	469	0	4	1536453828	关键就在于，你是选择共同幸福，还是独霸利益？
756	22	808	0	1	2	1	8	3217	4	10	408146618	人丑嘴不甜
757	unknown	545	0	1	4	0	5	284	3	2	471460280	
758	unknown	573	0	2	3	1	6	827	5	6	593985286	
759	19	357	0	6	1	1	5	367	3	2	1434471757	我在等的人？我愿不离不弃，你能生死相依？
760	unknown	712	3	2	1	1	5	345	6	3	476950690	心若沉浮，浅笑安然
761	20	285	0	1	0	1	4	198	3	1	1507032520	
762	19	568	0	6	3	1	8	6070	5	11	597738076	
763	24	920	2	1	1	1	8	3177	2	12	248127877	
764	unknown	901	2	9	1	1	7	1422	0	4	351077634	是谁发明了我喜欢你这种人间疾苦
765	unknown	1070	3	4	5	2	7	2714	2	6	274834820	
766	unknown	1193	0	1	3	1	6	1075	0	1	120501079	
767	unknown	111	0	2	6	1	2	43	5	3	1712519521	
768	19	458	1	5	3	1	7	2956	3	7	1336992762	你可以坐在扶手椅上继续读你的书，种你的树，看着它们长大。
769	unknown	901	2	9	1	1	7	1422	0	4	351077634	是谁发明了我喜欢你这种人间疾苦
770	unknown	1062	1	1	4	1	7	2018	1	25	278103562	
771	unknown	1062	1	1	4	1	7	2018	1	25	278103562	
772	unknown	524	0	3	3	2	5	254	4	3	636018485	
773	0	160	0	1	2	0	3	129	6	1	1661066806	
774	23	647	0	4	1	1	5	395	1	5	533628942	
775	23	647	0	4	1	1	5	395	1	5	533628942	
776	17	958	0	4	5	1	7	1133	4	19	324652680	
777	2	696	2	5	7	2	8	3779	7	3	414532650	好好学习 和你 一起
778	unknown	408	0	2	4	1	6	870	3	1	1385348001	
779	unknown	52	0	7	3	1	4	349	4	1	1769118128	
780	unknown	227	0	1	7	1	3	121	1	1	1577206603	
781	14	135	0	1	3	1	5	1176	3	12	1685697332	湉湉咖黎
782	18	223	0	1	3	2	7	1048	3	2	1581652860	
783	unknown	685	1	1	1	1	8	3810	3	5	493863053	
784	29	1108	4	1	5	1	8	7488	6	11	259924770	恃宠而骄 不负厚爱
785	unknown	8	0	1	5	0	2	55	3	1	1815276736	
786	16	1079	3	1	1	1	1	39	4	2	271219022	Get Everybody Moving
787	unknown	705	0	6	1	1	7	1853	4	7	481761469	
788	unknown	251	0	0	4	1	6	1967	1	3	1543264916	
789	unknown	771	0	1	7	1	6	840	3	4	430763795	
790	unknown	874	0	1	5	1	5	394	4	1	364484847	
791	unknown	1252	0	2	2	0	7	2313	3	29	103308263	
792	unknown	733	0	4	9	1	6	874	1	11	1366183182	
793	unknown	755	2	1	5	1	6	1000	0	2	440226493	嘴上没关系心里很在意
794	unknown	784	1	2	9	1	6	945	4	3	423181982	
795	22	159	0	1	3	1	5	348	1	1	1662208847	
796	unknown	630	0	2	7	1	7	1396	0	2	547137588	
797	20	612	0	1	5	1	6	412	3	1	562189965	青春若有一颗不变的心。
798	26	235	1	3	6	2	6	518	5	4	1565519972	希望再见，只谈风声，不动心，不伤情……
799	unknown	818	3	4	1	2	7	1607	5	6	401281595	
800	18	678	1	2	1	2	9	10773	3	6	499332328	飞进你心里~
801	18	678	1	2	1	2	9	10773	3	6	499332328	飞进你心里~
802	unknown	17998	3	1	1	1	8	5307	1	15	39976833	
803	unknown	457	1	1	7	1	6	1009	1	4	1315352910	遇见你是偶然不经意间的惊喜
804	30	1	0	1	3	0	0	0	3	1	1821844233	才知你去了个地方叫永远，你可否代我发表退役宣言
805	unknown	993	2	1	9	1	7	1565	6	7	308813553	抬头是精神，蹭屄是牺牲😌
806	unknown	1105	3	6	2	2	7	1697	5	7	261603504	己所不欲勿施于人
807	unknown	17998	4	4	1	0	7	1898	0	2	41046222	stay chill
808	unknown	120	0	0	4	2	5	254	6	7	1703382394	
809	unknown	547	3	6	3	1	7	2475	6	2	616929917	一事无成，只剩遗憾
810	19	568	0	6	3	1	8	6070	5	11	597738076	
811	unknown	591	1	1	1	2	8	5792	0	21	568980957	大家都好热爱生活 是装的吗？💉
812	unknown	890	0	1	1	1	7	1042	4	6	356267853	
813	-3	690	2	4	1	2	7	2165	1	19	491236042	生生不息。
814	18	282	0	4	5	1	7	1723	4	12	1509479582	这个人想要本硕博走一波。
815	unknown	890	0	1	1	1	7	1042	4	6	356267853	
816	16	113	2	1	2	2	4	202	5	4	1709729812	君は本当に大きくなったんだ
817	16	113	2	1	2	2	4	202	5	4	1709729812	君は本当に大きくなったんだ
818	unknown	846	0	3	4	1	4	177	3	3	380272179	薇heibai88588
819	unknown	453	0	2	5	0	5	340	3	4	1341316522	
820	unknown	614	0	3	1	0	7	1464	1	7	560059877	
821	unknown	17998	4	4	1	0	7	1898	0	2	41046222	stay chill
822	unknown	366	4	2	3	1	5	272	0	4	1426380850	有些事，不管是输还是赢，我们都必须去做。
823	unknown	874	0	2	3	1	6	652	6	5	364755039	
824	unknown	955	0	5	0	2	7	2637	0	7	322467121	Doctor
825	0	6	0	5	3	0	1	226	4	2	1816955658	
826	19	299	0	2	6	2	5	356	6	3	1490917928	
827	unknown	51	0	2	4	2	0	8	1	1	1769915076	
828	48	496	0	5	3	1	6	873	5	2	1301960832	
829	27	17998	1	2	1	1	7	1079	3	3	29353870	听你爱听的歌
830	27	17998	1	2	1	1	7	1079	3	3	29353870	听你爱听的歌
831	unknown	934	1	5	8	0	6	980	3	7	129362706	
832	unknown	14	0	1	3	1	0	1	2	1	1808875483	
833	unknown	5	0	1	2	1	0	9	1	2	1818651829	
834	19	1160	2	1	3	1	7	1296	3	15	132433142	
835	20	667	8	6	5	1	7	2063	1	9	507793255	中考备战,十年磨一剑,至少应该做一回自己的英雄。
836	16	643	1	2	7	1	8	5920	4	12	536409980	绿
837	unknown	193	0	2	1	0	5	366	2	3	1620034133	
838	19	954	2	2	6	2	9	8983	3	14	326665271	身体和灵魂总有一个在路上，出走的目的，只是想找回那个迷失的自己。
839	unknown	250	0	2	4	1	0	7	3	2	1543850131	
840	unknown	725	0	2	1	2	7	1860	4	13	468944832	
841	unknown	103	0	2	4	2	2	65	1	1	1720357556	
842	unknown	726	2	4	9	1	8	3051	4	10	468463511	
843	unknown	599	0	3	3	2	6	831	3	1	571876729	
844	unknown	901	2	9	1	1	7	1422	0	4	351077634	是谁发明了我喜欢你这种人间疾苦
845	unknown	901	2	9	1	1	7	1422	0	4	351077634	是谁发明了我喜欢你这种人间疾苦
846	29	240	0	2	1	1	6	766	1	11	1554592246	
847	unknown	243	0	2	1	1	6	617	3	8	1325502836	
848	unknown	901	2	9	1	1	7	1422	0	4	351077634	是谁发明了我喜欢你这种人间疾苦
849	29	1162	1	2	6	0	7	1147	4	16	131518549	
850	unknown	554	0	1	3	1	5	228	3	9	600066450	
851	unknown	486	0	2	8	2	7	1509	3	3	1309613719	
852	unknown	486	0	2	8	2	7	1509	3	3	1309613719	
853	unknown	257	9	9	1	2	6	469	0	4	1536453828	关键就在于，你是选择共同幸福，还是独霸利益？
854	unknown	257	9	9	1	2	6	469	0	4	1536453828	关键就在于，你是选择共同幸福，还是独霸利益？
855	22	808	0	1	2	1	8	3217	4	10	408146618	人丑嘴不甜
856	unknown	545	0	1	4	0	5	284	3	2	471460280	
857	unknown	573	0	2	3	1	6	827	5	6	593985286	
858	19	357	0	6	1	1	5	367	3	2	1434471757	我在等的人？我愿不离不弃，你能生死相依？
859	unknown	712	3	2	1	1	5	345	6	3	476950690	心若沉浮，浅笑安然
860	20	285	0	1	0	1	4	198	3	1	1507032520	
861	19	568	0	6	3	1	8	6070	5	11	597738076	
862	24	920	2	1	1	1	8	3177	2	12	248127877	
863	unknown	901	2	9	1	1	7	1422	0	4	351077634	是谁发明了我喜欢你这种人间疾苦
864	unknown	1070	3	4	5	2	7	2714	2	6	274834820	
865	unknown	1193	0	1	3	1	6	1075	0	1	120501079	
866	unknown	111	0	2	6	1	2	43	5	3	1712519521	
867	19	458	1	5	3	1	7	2956	3	7	1336992762	你可以坐在扶手椅上继续读你的书，种你的树，看着它们长大。
868	unknown	901	2	9	1	1	7	1422	0	4	351077634	是谁发明了我喜欢你这种人间疾苦
869	unknown	1062	1	1	4	1	7	2018	1	25	278103562	
870	unknown	1062	1	1	4	1	7	2018	1	25	278103562	
871	unknown	524	0	3	3	2	5	254	4	3	636018485	
872	0	160	0	1	2	0	3	129	6	1	1661066806	
873	23	647	0	4	1	1	5	395	1	5	533628942	
874	23	647	0	4	1	1	5	395	1	5	533628942	
875	17	958	0	4	5	1	7	1133	4	19	324652680	
876	2	696	2	5	7	2	8	3779	7	3	414532650	好好学习 和你 一起
877	unknown	408	0	2	4	1	6	870	3	1	1385348001	
878	unknown	52	0	7	3	1	4	349	4	1	1769118128	
879	unknown	227	0	1	7	1	3	121	1	1	1577206603	
880	14	135	0	1	3	1	5	1176	3	12	1685697332	湉湉咖黎
881	18	223	0	1	3	2	7	1048	3	2	1581652860	
882	unknown	685	1	1	1	1	8	3810	3	5	493863053	
883	29	1108	4	1	5	1	8	7488	6	11	259924770	恃宠而骄 不负厚爱
884	unknown	8	0	1	5	0	2	55	3	1	1815276736	
885	16	1079	3	1	1	1	1	39	4	2	271219022	Get Everybody Moving
886	unknown	705	0	6	1	1	7	1853	4	7	481761469	
887	unknown	251	0	0	4	1	6	1967	1	3	1543264916	
888	unknown	771	0	1	7	1	6	840	3	4	430763795	
889	unknown	874	0	1	5	1	5	394	4	1	364484847	
890	unknown	1252	0	2	2	0	7	2313	3	29	103308263	
891	unknown	733	0	4	9	1	6	874	1	11	1366183182	
892	unknown	755	2	1	5	1	6	1000	0	2	440226493	嘴上没关系心里很在意
893	unknown	784	1	2	9	1	6	945	4	3	423181982	
894	22	159	0	1	3	1	5	348	1	1	1662208847	
895	unknown	630	0	2	7	1	7	1396	0	2	547137588	
896	20	612	0	1	5	1	6	412	3	1	562189965	青春若有一颗不变的心。
897	26	235	1	3	6	2	6	518	5	4	1565519972	希望再见，只谈风声，不动心，不伤情……
898	unknown	818	3	4	1	2	7	1607	5	6	401281595	
899	20	619	0	1	3	1	6	581	4	7	556650678	签名是什么，能吃吗？
900	18	678	1	2	1	2	9	10773	3	6	499332328	飞进你心里~
901	unknown	17998	3	1	1	1	8	5307	1	15	39976833	
902	unknown	457	1	1	7	1	6	1009	1	4	1315352910	遇见你是偶然不经意间的惊喜
903	30	1	0	1	3	0	0	0	3	1	1821844233	才知你去了个地方叫永远，你可否代我发表退役宣言
904	unknown	993	2	1	9	1	7	1565	6	7	308813553	抬头是精神，蹭屄是牺牲😌
905	unknown	1105	3	6	2	2	7	1697	5	7	261603504	己所不欲勿施于人
906	unknown	17998	4	4	1	0	7	1898	0	2	41046222	stay chill
907	unknown	120	0	0	4	2	5	254	6	7	1703382394	
908	unknown	547	3	6	3	1	7	2475	6	2	616929917	一事无成，只剩遗憾
909	19	568	0	6	3	1	8	6070	5	11	597738076	
910	unknown	591	1	1	1	2	8	5792	0	21	568980957	大家都好热爱生活 是装的吗？💉
911	unknown	890	0	1	1	1	7	1042	4	6	356267853	
912	-3	690	2	4	1	2	7	2165	1	19	491236042	生生不息。
913	18	282	0	4	5	1	7	1723	4	12	1509479582	这个人想要本硕博走一波。
914	unknown	890	0	1	1	1	7	1042	4	6	356267853	
915	16	113	2	1	2	2	4	202	5	4	1709729812	君は本当に大きくなったんだ
916	16	113	2	1	2	2	4	202	5	4	1709729812	君は本当に大きくなったんだ
917	unknown	846	0	3	4	1	4	177	3	3	380272179	薇heibai88588
918	unknown	453	0	2	5	0	5	340	3	4	1341316522	
919	unknown	614	0	3	1	0	7	1464	1	7	560059877	
920	unknown	17998	4	4	1	0	7	1898	0	2	41046222	stay chill
921	unknown	366	4	2	3	1	5	272	0	4	1426380850	有些事，不管是输还是赢，我们都必须去做。
922	unknown	874	0	2	3	1	6	652	6	5	364755039	
923	unknown	955	0	5	0	2	7	2637	0	7	322467121	Doctor
924	0	6	0	5	3	0	1	226	4	2	1816955658	
925	19	299	0	2	6	2	5	356	6	3	1490917928	
926	unknown	51	0	2	4	2	0	8	1	1	1769915076	
927	48	496	0	5	3	1	6	873	5	2	1301960832	
928	27	17998	1	2	1	1	7	1079	3	3	29353870	听你爱听的歌
929	27	17998	1	2	1	1	7	1079	3	3	29353870	听你爱听的歌
930	unknown	934	1	5	8	0	6	980	3	7	129362706	
931	unknown	14	0	1	3	1	0	1	2	1	1808875483	
932	unknown	5	0	1	2	1	0	9	1	2	1818651829	
933	19	1160	2	1	3	1	7	1296	3	15	132433142	
934	20	667	8	6	5	1	7	2063	1	9	507793255	中考备战,十年磨一剑,至少应该做一回自己的英雄。
935	16	643	1	2	7	1	8	5920	4	12	536409980	绿
936	unknown	193	0	2	1	0	5	366	2	3	1620034133	
937	19	954	2	2	6	2	9	8983	3	14	326665271	身体和灵魂总有一个在路上，出走的目的，只是想找回那个迷失的自己。
938	unknown	250	0	2	4	1	0	7	3	2	1543850131	
939	unknown	725	0	2	1	2	7	1860	4	13	468944832	
940	unknown	103	0	2	4	2	2	65	1	1	1720357556	
941	unknown	726	2	4	9	1	8	3051	4	10	468463511	
942	unknown	599	0	3	3	2	6	831	3	1	571876729	
943	unknown	901	2	9	1	1	7	1422	0	4	351077634	是谁发明了我喜欢你这种人间疾苦
944	unknown	901	2	9	1	1	7	1422	0	4	351077634	是谁发明了我喜欢你这种人间疾苦
945	29	240	0	2	1	1	6	766	1	11	1554592246	
946	unknown	243	0	2	1	1	6	617	3	8	1325502836	
947	unknown	901	2	9	1	1	7	1422	0	4	351077634	是谁发明了我喜欢你这种人间疾苦
948	29	1162	1	2	6	0	7	1147	4	16	131518549	
949	unknown	554	0	1	3	1	5	228	3	9	600066450	
950	unknown	486	0	2	8	2	7	1509	3	3	1309613719	
951	unknown	486	0	2	8	2	7	1509	3	3	1309613719	
952	unknown	257	9	9	1	2	6	469	0	4	1536453828	关键就在于，你是选择共同幸福，还是独霸利益？
953	unknown	257	9	9	1	2	6	469	0	4	1536453828	关键就在于，你是选择共同幸福，还是独霸利益？
954	22	808	0	1	2	1	8	3217	4	10	408146618	人丑嘴不甜
955	unknown	545	0	1	4	0	5	284	3	2	471460280	
956	unknown	573	0	2	3	1	6	827	5	6	593985286	
957	19	357	0	6	1	1	5	367	3	2	1434471757	我在等的人？我愿不离不弃，你能生死相依？
958	unknown	712	3	2	1	1	5	345	6	3	476950690	心若沉浮，浅笑安然
959	20	285	0	1	0	1	4	198	3	1	1507032520	
960	19	568	0	6	3	1	8	6070	5	11	597738076	
961	24	920	2	1	1	1	8	3177	2	12	248127877	
962	unknown	901	2	9	1	1	7	1422	0	4	351077634	是谁发明了我喜欢你这种人间疾苦
963	unknown	1070	3	4	5	2	7	2714	2	6	274834820	
964	unknown	1193	0	1	3	1	6	1075	0	1	120501079	
965	unknown	111	0	2	6	1	2	43	5	3	1712519521	
966	19	458	1	5	3	1	7	2956	3	7	1336992762	你可以坐在扶手椅上继续读你的书，种你的树，看着它们长大。
967	unknown	901	2	9	1	1	7	1422	0	4	351077634	是谁发明了我喜欢你这种人间疾苦
968	unknown	1062	1	1	4	1	7	2018	1	25	278103562	
969	unknown	1062	1	1	4	1	7	2018	1	25	278103562	
970	unknown	524	0	3	3	2	5	254	4	3	636018485	
971	0	160	0	1	2	0	3	129	6	1	1661066806	
972	23	647	0	4	1	1	5	395	1	5	533628942	
973	23	647	0	4	1	1	5	395	1	5	533628942	
974	17	958	0	4	5	1	7	1133	4	19	324652680	
975	2	696	2	5	7	2	8	3779	7	3	414532650	好好学习 和你 一起
976	unknown	408	0	2	4	1	6	870	3	1	1385348001	
977	unknown	52	0	7	3	1	4	349	4	1	1769118128	
978	unknown	227	0	1	7	1	3	121	1	1	1577206603	
979	14	135	0	1	3	1	5	1176	3	12	1685697332	湉湉咖黎
980	18	223	0	1	3	2	7	1048	3	2	1581652860	
981	unknown	685	1	1	1	1	8	3810	3	5	493863053	
982	29	1108	4	1	5	1	8	7488	6	11	259924770	恃宠而骄 不负厚爱
983	unknown	8	0	1	5	0	2	55	3	1	1815276736	
984	16	1079	3	1	1	1	1	39	4	2	271219022	Get Everybody Moving
985	unknown	705	0	6	1	1	7	1853	4	7	481761469	
986	unknown	251	0	0	4	1	6	1967	1	3	1543264916	
987	unknown	771	0	1	7	1	6	840	3	4	430763795	
988	unknown	874	0	1	5	1	5	394	4	1	364484847	
989	unknown	1252	0	2	2	0	7	2313	3	29	103308263	
990	unknown	733	0	4	9	1	6	874	1	11	1366183182	
991	unknown	755	2	1	5	1	6	1000	0	2	440226493	嘴上没关系心里很在意
992	unknown	784	1	2	9	1	6	945	4	3	423181982	
993	22	159	0	1	3	1	5	348	1	1	1662208847	
994	unknown	630	0	2	7	1	7	1396	0	2	547137588	
995	20	612	0	1	5	1	6	412	3	1	562189965	青春若有一颗不变的心。
996	26	235	1	3	6	2	6	518	5	4	1565519972	希望再见，只谈风声，不动心，不伤情……
997	unknown	818	3	4	1	2	7	1607	5	6	401281595	
998	20	619	0	1	3	1	6	581	4	7	556650678	签名是什么，能吃吗？
999	20	619	0	1	3	1	6	581	4	7	556650678	签名是什么，能吃吗？
